date,open,high,low,close,volume,adj close,ma7,ma21,ema,stddev,return,rsi
2019-01-15,37.56750,38.34750,37.51250,38.2675,114843600,38.2675,37.898214,38.66166638095238,38.602453516026785,0.5318220616321591,0.020466666666666633,56.49999891666684
2019-01-16,38.27000,38.97000,38.25,38.735,122278800,38.735,38.14857114285714,38.53619019047619,38.6150769906909,0.4320370390323284,0.012216632913046421,47.17935802087368
2019-01-17,38.55000,39.41500,38.31500,38.965,119284800,38.965,38.33107114285714,38.43999971428572,38.64840299157748,0.4727158675453519,0.005937782367368083,49.63226984529548
2019-01-18,39.375,39.47000,38.99500,39.205,135004000,39.205,38.45642828571429,38.32988066666667,38.701412230474865,0.5765558299077218,0.0061593737969971585,50.73183336460762
2019-01-22,39.10250,39.18250,38.15500,38.325,121576000,38.325,38.43857114285714,38.239523523809524,38.66556344662011,0.5787198053426373,-0.022446116566764318,44.754252316493826
2019-01-23,38.53750,38.78500,37.92500,38.48,92522400,38.48,38.496785714285714,38.20488066666667,38.647890737418194,0.55580031314785,0.00404435746901477,45.32273064971574
2019-01-24,38.52750,38.62000,37.93500,38.175,101766000,38.175,38.59321428571429,38.228333047619046,38.60285352433075,0.38694507116029625,-0.007926195426195437,68.60177517926377
2019-01-25,38.87000,39.53250,38.58000,39.44,134142000,39.44,38.760714285714286,38.3584520952381,38.68258176010877,0.4677822550025208,0.03313686967910945,67.43760167953036
2019-01-28,38.94750,39.082500,38.41500,39.075001,104768400,39.075001,38.809285857142854,38.348095,38.719955021050794,0.48209991357270976,-0.009254538539553714,64.75150719090692
2019-01-29,39.0625,39.53250,38.52750,38.67,166348800,38.67,38.767143,38.330595095238095,38.71519739999834,0.47910393320204697,-0.010364708627902508,57.23224144276777
2019-01-30,40.8125,41.53750,40.057499,41.3125,244439200,41.3125,39.06821442857143,38.43797609523809,38.96255955237945,1.082424665749978,0.06833462632531684,66.9698692438886
2019-01-31,41.52750,42.25,41.14000,41.61,162958400,41.61,39.53750014285714,38.54154752380952,39.21469673786713,1.3781969848925086,0.007201210287443249,67.61426978818284
2019-02-01,41.74000,42.24500,41.48250,41.63,130672400,41.63,39.987500142857144,38.64392847619048,39.444725619975024,1.4854466598187896,0.0004806536890171742,70.65313687155576
